benchmark_id,source_id,role,repository,accession,version_policy,access,license_summary,license_url,source_url,citation,citation_url,modalities,adapter,query_json,notes
depmap_prism_lincs,lincs_phase2,independent_signature_validation,NCBI GEO/LINCS,GSE70138,GEO accession update locked by file MD5,open,NCBI GEO terms and submitter-provided usage,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,"NIH LINCS L1000 Phase II, GEO GSE70138",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,L1000 expression signatures,geo,"{""geo_accession"": ""GSE70138""}",
depmap_prism_lincs,lincs_genetic_perturbations,genetic_signature_validation,NCBI GEO/LINCS,GSE106127,GEO accession update locked,open,NCBI GEO terms,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106127,"LINCS genetic perturbation signatures, GEO GSE106127",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106127,RNAi; CRISPR; L1000,geo,"{""geo_accession"": ""GSE106127""}",
sea_ad_neural_glial,sea_ad_processed_single_cell,discovery,Allen Institute/AWS,AWS s3://sea-ad-single-cell-profiling/; Brain Knowledge project UMSVXTDIAZTAFKGE43T,object ETag and LastModified locked at download,open processed data,Allen Institute Terms of Use and Citation Policy,https://alleninstitute.org/legal/terms-use/,https://registry.opendata.aws/allen-sea-ad-atlas/,Gabitto et al. Integrated multimodal cell atlas of Alzheimer’s disease. Nature Neuroscience 2024. DOI:10.1038/s41593-024-01774-5,https://doi.org/10.1038/s41593-024-01774-5,snRNA-seq; snATAC-seq; multiome,aws_s3,"{""bucket"": ""sea-ad-single-cell-profiling"", ""regions"": [""MTG"", ""A9/PFC""]}",Processed snRNA data from eleven regions were available as of June 2026.
sea_ad_neural_glial,sea_ad_spatial,spatial_discovery,Allen Institute/AWS,AWS s3://sea-ad-spatial-transcriptomics/,object ETag and LastModified locked,open,Allen Institute Terms of Use and Citation Policy,https://alleninstitute.org/legal/terms-use/,https://registry.opendata.aws/allen-sea-ad-atlas/,Gabitto et al. Nature Neuroscience 2024. DOI:10.1038/s41593-024-01774-5,https://doi.org/10.1038/s41593-024-01774-5,MERFISH; Xenium; spatial cell annotations,aws_s3,"{""bucket"": ""sea-ad-spatial-transcriptomics"", ""region"": ""MTG""}",Cell-level spatial data from 24 donors are described by the ABC Atlas.
sea_ad_neural_glial,sea_ad_neuropathology,phenotype_anchor,Allen Institute/AWS,AWS s3://sea-ad-quantitative-neuropathology/,object ETag and LastModified locked,open,Allen Institute Terms of Use,https://alleninstitute.org/legal/terms-use/,https://registry.opendata.aws/allen-sea-ad-atlas/,SEA-AD quantitative neuropathology resource,https://brain-map.org/consortia/sea-ad/our-data,brightfield pathology; quantifications; annotations,aws_s3,"{""bucket"": ""sea-ad-quantitative-neuropathology""}",
sea_ad_neural_glial,sea_ad_multiregion,within-program_validation,Allen Institute/AWS,SEA-AD processed 11-region release (June 2026),June 2026 release/object lock,open processed,Allen Institute Terms of Use,https://alleninstitute.org/legal/terms-use/,https://brain-map.org/consortia/sea-ad/our-data,SEA-AD Data and Downloads,https://brain-map.org/consortia/sea-ad/our-data,snRNA-seq across 11 regions,aws_s3,"{""bucket"": ""sea-ad-single-cell-profiling"", ""scope"": ""eleven brain regions""}","Used for region-held-out validation; donors may overlap, so it is not labeled independent-donor validation."
amp_ad_molecular,ampad_rnaseq_harmonization,harmonized_discovery,AD Knowledge Portal/Synapse,syn21241740,Synapse entity version locked at download,mixed open/controlled; Synapse account and conditions may be required,Study-specific Synapse access requirements and data-use terms,https://adknowledgeportal.synapse.org/DataAccess/,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn21241740,"AMP-AD RNAseq Harmonization Study, Synapse syn21241740",https://doi.org/10.7303/syn21241740,harmonized bulk RNA-seq; clinical/pathology metadata,synapse,"{""synapse_id"": ""syn21241740""}","Common processing of ROSMAP, MSBB and MayoRNAseq."
amp_ad_molecular,rosmap,discovery_cohort,AD Knowledge Portal/Synapse,syn3219045,Synapse version lock,controlled for many individual-level files,ROSMAP/AD Knowledge Portal data-use terms,https://adknowledgeportal.synapse.org/DataAccess/,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3219045,"ROSMAP Study, Synapse syn3219045",https://doi.org/10.7303/syn3219045,longitudinal clinical; neuropathology; RNA-seq; proteomics; genomics,synapse,"{""synapse_id"": ""syn3219045""}",Discovery only; subject-level access conditions must be honored.
amp_ad_molecular,msbb,independent_validation,AD Knowledge Portal/Synapse,syn3159438,Synapse version lock,mixed/controlled,MSBB/AD Knowledge Portal terms,https://adknowledgeportal.synapse.org/DataAccess/,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3159438,"Mount Sinai Brain Bank Study, Synapse syn3159438",https://doi.org/10.7303/syn3159438,multi-region RNA-seq; proteomics; epigenomics; pathology,synapse,"{""synapse_id"": ""syn3159438""}",Independent cohort validation.
amp_ad_molecular,mayo_rnaseq,independent_validation,AD Knowledge Portal/Synapse,syn5550404,Synapse version lock,mixed/controlled,Mayo/AD Knowledge Portal terms,https://adknowledgeportal.synapse.org/DataAccess/,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn5550404,"Mayo RNAseq Study, Synapse syn5550404",https://doi.org/10.7303/syn5550404,temporal cortex RNA-seq; cerebellum RNA-seq; proteomics/metabolomics where available,synapse,"{""synapse_id"": ""syn5550404""}",Independent cohort validation.
amp_ad_molecular,ampad_diverse_cohorts,generalization_validation,AD Knowledge Portal/Synapse,syn51732482,Synapse version lock,mixed/controlled,Study-specific terms,https://adknowledgeportal.synapse.org/DataAccess/,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn51732482,"AMP-AD Diverse Cohorts Study, Synapse syn51732482",https://doi.org/10.7303/syn51732482,harmonized human postmortem multiomics,synapse,"{""synapse_id"": ""syn51732482""}",Used for demographic and ancestry generalization where permitted.
dandi_neurophysiology,dandi_000048,multimodal_discovery,DANDI,DANDI:000048,latest published version resolved and locked,open,Resolve exact CC0 or CC-BY license from immutable Dandiset metadata,https://docs.dandiarchive.org/introduction/,https://dandiarchive.org/dandiset/000048,DANDI:000048; cite Dandiset metadata and associated publication,https://identifiers.org/DANDI:000048,electrophysiology; two-photon calcium imaging; NWB,dandi,"{""dandiset"": ""000048"", ""version"": ""latest_published""}",Primary multimodal functional benchmark.
dandi_neurophysiology,dandi_000039,independent_imaging_validation,DANDI,DANDI:000039,latest published version resolved and locked,open,Resolve from immutable Dandiset metadata,https://docs.dandiarchive.org/introduction/,https://dandiarchive.org/dandiset/000039,DANDI:000039; Allen Institute contrast-tuning dataset,https://identifiers.org/DANDI:000039,calcium imaging; stimulus response; NWB,dandi,"{""dandiset"": ""000039"", ""version"": ""latest_published""}",Independent imaging validation.
dandi_neurophysiology,dandi_000568,independent_ephys_validation,DANDI,DANDI:000568,latest published version resolved and locked,open,Resolve from immutable Dandiset metadata,https://docs.dandiarchive.org/introduction/,https://dandiarchive.org/dandiset/000568,DANDI:000568; cite immutable Dandiset metadata and associated publication,https://identifiers.org/DANDI:000568,intracellular electrophysiology; optogenetics; NWB,dandi,"{""dandiset"": ""000568"", ""version"": ""latest_published""}",Independent electrophysiology validation.
